gene_symbol	gene_id	chrom	pops_score	magma_z	magma_p
CNTFR	ENSG00000122756	9	0.1591729143849803	2.4838	0.0064985
MBNL2	ENSG00000139793	13	0.15910475193111687	0.9701799999999999	0.16598
JAZF1	ENSG00000153814	7	0.15905354587452308	-0.0023331	0.50093
FAM69A	ENSG00000154511	1	0.15904780249641248	2.6551	0.0039645
GLTSCR1	ENSG00000063169	19	0.15891158615804105	0.64367	0.2599
LRRC16B	ENSG00000186648	14	0.1588719957916337	1.4038	0.080196
ISG20L2	ENSG00000143319	1	0.1588571875589819	0.25490999999999997	0.39939
SIRT1	ENSG00000096717	10	0.15872397231266674	-0.032418999999999996	0.51293
ZDHHC22	ENSG00000177108	14	0.15871297057544942	-0.54972	0.7087399999999999
DRG2	ENSG00000108591	17	0.15868367932271513	3.9841	3.3872e-05
KLF10	ENSG00000155090	8	0.15864283407502086	3.9272	4.2978e-05
FAM207A	ENSG00000160256	21	0.15863187610063614	0.9928799999999999	0.16038
CHCHD6	ENSG00000159685	3	0.15856082223478607	0.8234799999999999	0.20511999999999997
TSHZ1	ENSG00000179981	18	0.15854832034572774	1.5147	0.064925
RAB28	ENSG00000157869	4	0.1585042007014899	-0.23929	0.5945600000000001
LONP2	ENSG00000102910	16	0.15845750510988468	0.5140399999999999	0.30361
FAF2	ENSG00000113194	5	0.1583818875474067	0.8943399999999999	0.18557
POLR2J	ENSG00000005075	7	0.15832737694470067	-0.15453	0.5614
MBNL1	ENSG00000152601	3	0.15832672788126415	1.7821	0.037369
RAD23A	ENSG00000179262	19	0.15831869998132575	2.0584	0.019776
ULK2	ENSG00000083290	17	0.15828828492744973	0.46681999999999996	0.32031
UBQLN1	ENSG00000135018	9	0.15825124265932694	1.8098	0.035167000000000004
KIAA0586	ENSG00000100578	14	0.1582044493452136	0.27912	0.39008000000000004
NFKBIL1	ENSG00000204498	6	0.15815391133587248	3.6317	0.00014077
ACE	ENSG00000159640	17	0.15814618908669914	4.0497	2.5645e-05
TMEM9	ENSG00000116857	1	0.15812133736124728	0.45161	0.32578
CASP3	ENSG00000164305	4	0.15811654674676734	2.013	0.02206
GDI2	ENSG00000057608	10	0.1580568927432274	0.6502899999999999	0.25775
PDDC1	ENSG00000177225	11	0.1579659898905638	0.5423399999999999	0.29379
KDM3A	ENSG00000115548	2	0.15796458900118926	1.2851	0.099374
RNF20	ENSG00000155827	9	0.1579579672606654	0.3198	0.37456
SLC9A5	ENSG00000135740	16	0.1579557289479456	1.0654	0.14334000000000002
TMEM50A	ENSG00000183726	1	0.15788796291532162	0.35891999999999996	0.35983000000000004
CRTAC1	ENSG00000095713	10	0.15787635414159945	-0.54138	0.7058800000000001
PPP3CC	ENSG00000120910	8	0.15780516715218865	3.0964	0.00097928
POLR3F	ENSG00000132664	20	0.1577812944276107	1.4280000000000002	0.076652
MORN4	ENSG00000171160	10	0.15770734730280053	0.9867299999999999	0.16189
PTDSS1	ENSG00000156471	8	0.1576965306270649	1.0842	0.13914
GPR26	ENSG00000154478	10	0.15764027216698426	0.56398	0.28638
SIDT2	ENSG00000149577	11	0.15755210063524172	2.2727	0.011521
IGF2BP3	ENSG00000136231	7	0.15753613429155974	2.965	0.0015132
ANKRD13A	ENSG00000076513	12	0.15752560583241268	4.5441	2.7589e-06
CD46	ENSG00000117335	1	0.1574385336253515	3.215	0.00065227
MYO18A	ENSG00000196535	17	0.1574260179037863	2.7572	0.0029146999999999997
FLOT1	ENSG00000137312	6	0.15741209076439133	4.5712	2.4242e-06
IFT27	ENSG00000100360	22	0.1573972278949571	0.48507	0.31381
PPP1R14B	ENSG00000173457	11	0.15739527205600468	2.6451	0.0040839
ITGB1BP1	ENSG00000119185	2	0.157367847649884	0.60356	0.27307
PCDHGB4	ENSG00000253953	5	0.15736089176596346	2.404	0.0081077
NFATC3	ENSG00000072736	16	0.15735931494691874	3.5096	0.00022437
CIR1	ENSG00000138433	2	0.15734390171025636	2.5298	0.005705600000000001
DYRK2	ENSG00000127334	12	0.15729467627871388	2.052	0.020086
MAST4	ENSG00000069020	5	0.15728303772330085	1.9624	0.02486
ACSL6	ENSG00000164398	5	0.15721103259570626	0.6327699999999999	0.26344
PLEC	ENSG00000178209	8	0.1571834107310792	-0.85409	0.80347
ATP13A3	ENSG00000133657	3	0.15716937060550598	1.4646	0.071512
SLC30A5	ENSG00000145740	5	0.15705210425013288	1.5836	0.056639
STX6	ENSG00000135823	1	0.1570214927143385	0.18773	0.42554
