dataset,compartment,stratum,age_group,metric,n_donor,point,ci_lo,ci_hi,n_young,n_old,power_at_d_observed,mannwhitney_p
HLMA,MuSC,within_country_Spain,young,regen_score,2,0.22058070049285888,0.18191996472222463,0.25924143626349316,,,,
HLMA,MuSC,within_country_Spain,young,total_load_caveat,2,-4.002528985799275,-5.776670624872168,-2.228387346726381,,,,
HLMA,MuSC,within_country_Spain,old,mean_SASP,5,-0.09045601987323726,-0.09675846646980943,-0.0810517120965277,,,,
HLMA,MuSC,within_country_Spain,old,SASP_high_fraction,5,0.020888552247264484,0.0017857142857142857,0.04668904485810192,,,,
HLMA,MuSC,within_country_Spain,old,senescence_score,5,-0.02804415854713822,-0.05194201326263004,-0.0035593638122081808,,,,
HLMA,MuSC,within_country_Spain,old,regen_score,5,0.226631016840276,0.13651583687619293,0.3036203440145143,,,,
HLMA,MuSC,within_country_Spain,old,total_load_caveat,5,-6.0911003801033505,-9.520253822782793,-2.8593136312170038,,,,
HLMA,MuSC,within_country_Spain,old_vs_young_effect,mean_SASP,7,-0.9877962644884598,-8.241950823410875,0.039076060900154905,2.0,5.0,0.16205356705273097,0.38095238095238093
HLMA,MuSC,within_country_Spain,old_vs_young_effect,SASP_high_fraction,7,0.5224440917565621,-0.9302605094190636,1.6356014157560694,2.0,5.0,0.0807743595866311,0.8407304470798855
HLMA,MuSC,within_country_Spain,old_vs_young_effect,senescence_score,7,0.4952566318708244,-0.7504000869455705,2.1608888784877798,2.0,5.0,0.07762502522301491,0.8571428571428571
HLMA,MuSC,within_country_Spain,old_vs_young_effect,regen_score,7,0.05963217473887831,-1.156749561404317,2.167713380656217,2.0,5.0,0.050396236866492965,0.5714285714285714
HLMA,Vascular,pooled,young,mean_SASP,8,-0.05114999633402307,-0.10467591448623068,0.032544801732977954,,,,
HLMA,Vascular,pooled,young,SASP_high_fraction,8,0.09180107491597554,0.013678796946935842,0.2269847170727255,,,,
HLMA,Vascular,pooled,young,senescence_score,8,0.006142721070148361,-0.007808052972854847,0.02095536722800871,,,,
HLMA,Vascular,pooled,young,total_load_caveat,8,22.894845138647497,-52.07289234675467,140.4338894015203,,,,
HLMA,Vascular,pooled,old,mean_SASP,15,0.01284049468040117,-0.042430598381861466,0.07399103483385629,,,,
HLMA,Vascular,pooled,old,SASP_high_fraction,15,0.21144892621206654,0.10904541679514965,0.3251897818470613,,,,
HLMA,Vascular,pooled,old,senescence_score,15,-0.012586573409806179,-0.02063474500160903,-0.004586377313687984,,,,
HLMA,Vascular,pooled,old,total_load_caveat,15,164.2577625435988,-12.659453126860654,418.71993483844057,,,,
HLMA,Vascular,pooled,old_vs_young_effect,mean_SASP,23,0.5430071784090404,-0.3012709435860012,1.4525845010732363,8.0,15.0,0.21973677952649642,0.04006004315601838
HLMA,Vascular,pooled,old_vs_young_effect,SASP_high_fraction,23,0.5634775828136138,-0.2579564515454678,1.3815439734142507,8.0,15.0,0.2330119456910929,0.0358712005583192
HLMA,Vascular,pooled,old_vs_young_effect,senescence_score,23,-0.9733326995355883,-2.3246331478301365,-0.02191512061255359,8.0,15.0,0.5639774088202837,0.033717168997825876
HLMA,Vascular,within_tech_scRNA,young,mean_SASP,1,0.22421512476592395,0.22421512476592395,0.22421512476592395,,,,
HLMA,Vascular,within_tech_scRNA,young,SASP_high_fraction,1,0.5456521739130434,0.5456521739130434,0.5456521739130434,,,,
HLMA,Vascular,within_tech_scRNA,young,senescence_score,1,-0.012254165847664296,-0.012254165847664296,-0.012254165847664296,,,,
HLMA,Vascular,within_tech_scRNA,young,total_load_caveat,1,412.55582956930004,412.55582956930004,412.55582956930004,,,,
HLMA,Vascular,within_tech_snRNA,young,mean_SASP,7,-0.09048787077687266,-0.10984221053113499,-0.07391646989080683,,,,
HLMA,Vascular,within_tech_snRNA,young,SASP_high_fraction,7,0.026965203630680133,0.008680932272396764,0.04833276850881612,,,,
HLMA,Vascular,within_tech_snRNA,young,senescence_score,7,0.008770847772693026,-0.007362331052900103,0.023685129173815548,,,,
HLMA,Vascular,within_tech_snRNA,young,total_load_caveat,7,-32.77100978001716,-61.67307376520549,-11.30145822297959,,,,
HLMA,Vascular,within_tech_snRNA,old,mean_SASP,15,0.01284049468040117,-0.042430598381861466,0.07399103483385629,,,,
HLMA,Vascular,within_tech_snRNA,old,SASP_high_fraction,15,0.21144892621206654,0.10904541679514965,0.3251897818470613,,,,
HLMA,Vascular,within_tech_snRNA,old,senescence_score,15,-0.012586573409806179,-0.02063474500160903,-0.004586377313687984,,,,
HLMA,Vascular,within_tech_snRNA,old,total_load_caveat,15,164.2577625435988,-12.659453126860654,418.71993483844057,,,,
HLMA,Vascular,within_tech_snRNA,old_vs_young_effect,mean_SASP,22,1.0206636868568297,0.6791766062129849,1.6187997804809175,7.0,15.0,0.5644073552102101,0.006614128905150577
