gene,mean_junb_pos,mean_junb_neg,log2FC,p_value,bh_p_value,significant
NNMT,0.182096466422081,-0.3363705277442932,0.5184670090675354,7.496754654236605e-202,6.243869608930449e-200,True
APOD,0.44198474287986755,-0.07555289566516876,0.5175376534461975,2.772124235215261e-214,2.4680668155078856e-212,True
TNXA,0.34648746252059937,-0.15167106688022614,0.4981585144996643,3.6491145535146925e-161,2.575410392062545e-159,True
LRRTM4,-0.22236572206020355,0.2744719088077545,-0.4968376159667969,1.0039561049503488e-171,7.370988625515795e-170,True
LUM,0.2341773360967636,-0.2625878155231476,0.49676513671875,2.9982677859276493e-168,2.1755346794238023e-166,True
SERF2,0.16925741732120514,-0.3265683948993683,0.4958258271217346,7.67824757721698e-172,5.650716025769922e-170,True
LGALS1,0.22299404442310333,-0.2707136273384094,0.49370765686035156,3.3136979022169268e-174,2.4739349904671575e-172,True
NEAT1,-0.10938944667577744,0.3821275234222412,-0.49151697754859924,4.7940986381632775e-206,4.091888653063714e-204,True
TUBA1A,0.21922942996025085,-0.26906514167785645,0.4882945716381073,4.721357806429982e-174,3.516390118187984e-172,True
CALM1,0.20664210617542267,-0.2805083394050598,0.4871504306793213,4.929956579797485e-171,3.610989236687127e-169,True
EID1,0.2128279209136963,-0.2742103636264801,0.4870382845401764,8.444527924773198e-167,6.084576946354604e-165,True
SERTAD1,0.09239712357521057,-0.3933800756931305,0.48577719926834106,4.739847621668541e-215,4.256657938033519e-213,True
JUND,0.24033084511756897,-0.24429388344287872,0.4846247434616089,1.5221404204484746e-168,1.1070534424120913e-166,True
AC024230.1,-0.18426233530044556,0.3001334071159363,-0.48439574241638184,2.0957710705997075e-157,1.452645974952813e-155,True
RND3,0.14035096764564514,-0.3410321772098541,0.48138314485549927,3.2569427325656486e-182,2.5290690898015414e-180,True
KLF10,0.15035468339920044,-0.33091020584106445,0.4812648892402649,4.926294085710527e-186,3.9136248630145965e-184,True
GPX3,0.4662536084651947,-0.014596797525882721,0.4808503985404968,3.2777478638915836e-210,2.868770114885676e-208,True
