compartment,direction,rank,gene_symbol,log2FC,wald_stat,p_value,ensg_versioned
FAP,DOWN,4,NTF3,-5.285466320032115,-5.779312860263836,7.500633278890286e-09,ENSG00000185652.12
FAP,DOWN,5,AC062015.1,-15.03486119302563,-5.749249469695627,8.964047151052967e-09,
FAP,DOWN,6,MAP3K6,-1.2288405595263987,-5.590831584224837,2.2598469036130543e-08,ENSG00000142733.17
FAP,DOWN,7,GULP1,-1.0413373384788984,-5.53828469755944,3.0544844515044594e-08,ENSG00000144366.16
FAP,DOWN,8,LINC01935,-18.03938120741354,-5.525020268394154,3.2944757653003395e-08,ENSG00000224095.1
FAP,DOWN,9,SLC19A1,-2.167285530454868,-5.40514821775789,6.475482296810981e-08,ENSG00000173638.19
FAP,DOWN,10,CTDSPL,-1.332967222753223,-5.111323292835403,3.199099756605935e-07,ENSG00000144677.15
FAP,DOWN,11,MDGA1,-1.1480749438247344,-5.100202909253854,3.392895517436712e-07,ENSG00000112139.17
FAP,DOWN,12,NRK,-2.4221545711556267,-5.039444083962465,4.668860075131373e-07,ENSG00000123572.17
FAP,DOWN,13,Z98884.1,-3.082691715663126,-4.798178274187948,1.601152384110597e-06,
FAP,DOWN,14,KCNMB4,-2.111706437409785,-4.79164670756623,1.6541799677334709e-06,ENSG00000135643.5
FAP,DOWN,15,AFDN,-0.9751821116111656,-4.788866503600229,1.6772600820321649e-06,ENSG00000130396.21
FAP,DOWN,16,TESPA1,-2.7995149368741505,-4.782363472349386,1.7324605154852956e-06,ENSG00000135426.16
FAP,DOWN,17,ATP2A1,-4.055112525536639,-4.73434983135111,2.197584056907721e-06,ENSG00000196296.14
FAP,DOWN,18,GALNT7,-1.0358855391612796,-4.669400529977507,3.020799187569552e-06,ENSG00000109586.12
FAP,DOWN,19,TMEM144,-2.3049578728147244,-4.649906081887636,3.3208621712230686e-06,ENSG00000164124.11
FAP,DOWN,20,ALPK3,-2.362638467482975,-4.616744291480057,3.898070932996524e-06,ENSG00000136383.7
FAP,DOWN,21,AIF1L,-2.276182353386723,-4.592325458530428,4.38334073089205e-06,ENSG00000126878.13
FAP,DOWN,22,PYGM,-1.821336273582836,-4.575077113710313,4.760446116015429e-06,ENSG00000068976.14
FAP,DOWN,23,PTPDC1,-0.8238645189208141,-4.500833971100896,6.768736259360356e-06,ENSG00000158079.16
FAP,DOWN,24,PPIAP16,-12.827579541636217,-4.493866554339965,6.99414670303536e-06,ENSG00000213509.4
FAP,DOWN,25,DAAM2,-1.5045074895219046,-4.407245122044719,1.0469368485099722e-05,ENSG00000146122.17
FAP,DOWN,26,SHISA6,-3.3406682796326144,-4.359139784515316,1.305746914002566e-05,ENSG00000188803.15
FAP,DOWN,27,GIMD1,-13.702838457276764,-4.3585632190353945,1.3091910559117597e-05,ENSG00000250298.3
FAP,DOWN,28,SLC25A18,-2.595885046918061,-4.349842955097312,1.3623506319149408e-05,ENSG00000182902.14
FAP,DOWN,29,PRDM8,-1.4981408009679458,-4.345871625373076,1.3872368796557812e-05,ENSG00000152784.16
FAP,DOWN,30,RTKN,-1.902444786456432,-4.34055331994169,1.4212437508439102e-05,ENSG00000114993.17
FAP,DOWN,31,PLCB4,-1.9867476445845635,-4.322719029684434,1.5411795450756267e-05,ENSG00000101333.19
FAP,DOWN,32,AC091053.2,-18.058924490478805,-4.321040737210716,1.55294997226631e-05,
FAP,DOWN,33,MME-AS1,-3.062198179075097,-4.315218086946376,1.5944541362895235e-05,ENSG00000240666.2
FAP,DOWN,34,DCAF12,-0.790918356164465,-4.308084964720356,1.6467413051056263e-05,ENSG00000198876.13
FAP,DOWN,35,AJAP1,-3.304873603481296,-4.301425643673018,1.6970272154389535e-05,ENSG00000196581.11
FAP,DOWN,36,PLD5,-2.4077548244244884,-4.294748777046205,1.7489126727677612e-05,ENSG00000180287.17
FAP,DOWN,37,ITGA8,-2.438210014525536,-4.283333986437548,1.8411348377064417e-05,ENSG00000077943.8
FAP,DOWN,38,WNT9A,-3.7643760328818794,-4.28303442498771,1.843616342131914e-05,ENSG00000143816.8
FAP,DOWN,39,SH3BGR,-2.801045474542161,-4.275265596280296,1.909095680375996e-05,ENSG00000185437.15
FAP,DOWN,40,LDLRAP1,-1.3129613255802772,-4.247872037581155,2.158105944363198e-05,ENSG00000157978.12
FAP,DOWN,41,LYZL2,-13.699194988021237,-4.237355933790981,2.2616744727758525e-05,ENSG00000151033.8
FAP,DOWN,42,PDE9A,-1.6702202579921,-4.206350347078828,2.595278028421597e-05,ENSG00000160191.18
FAP,DOWN,43,ADAMTS15,-1.788988451386514,-4.1911604527162485,2.775312958439216e-05,ENSG00000166106.4
FAP,DOWN,44,DCBLD2,-0.8175800624975679,-4.189814740986523,2.7918229418375877e-05,ENSG00000057019.16
FAP,DOWN,45,Z99755.2,-13.594004790854768,-4.182648007073111,2.881333174229207e-05,
FAP,DOWN,46,AC022039.1,-13.43132413685902,-4.16088821954102,3.170122304297868e-05,
FAP,DOWN,47,CBFA2T3,-1.7866814253357255,-4.117135868326815,3.836099426631666e-05,ENSG00000129993.15
FAP,DOWN,48,SUSD4,-3.4339748588284467,-4.06490843424604,4.805132295851048e-05,ENSG00000143502.16
FAP,DOWN,49,RET,-2.857013055007516,-4.036635788667891,5.422314719105489e-05,ENSG00000165731.21
FAP,DOWN,50,MICAL2,-1.4022233093163143,-4.015958580664704,5.920465393333227e-05,ENSG00000133816.18
FAP,DOWN,51,SLC38A1,-2.136937218607892,-4.011577303343958,6.0314420589183366e-05,ENSG00000111371.16
FAP,DOWN,52,MTMR11,-1.5501707757388732,-4.001092722623616,6.305064335918589e-05,ENSG00000014914.21
FAP,DOWN,53,KIF5C,-1.6933765493352022,-4.0007394225827495,6.3144861897953e-05,ENSG00000168280.18
