stratum,tf,beta_age,se_age,p_age,ci_lo,ci_hi,beta_age_x_smtsisch,p_age_x_smtsisch,n,r2,family,pre_cv_n,post_cv_n,bonf_alpha,bonf_sig
T2_mid,CollecTRI__ATF3,0.011838840323478384,0.010032305162037819,0.2390543662779216,-0.007916429452476755,0.031594110099433526,-1.9022261874224303e-05,0.2907665846960871,265,0.009382530353392426,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__CEBPB,0.021941736549072964,0.026691442800416132,0.4118037931611307,-0.030618133263000093,0.07450160636114603,-2.6855411915877885e-05,0.5747821064575839,265,0.03799484647219764,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__EGR1,0.04364043912812612,0.016982777906292164,0.01073918004116081,0.010198537823781849,0.07708234043247039,-6.53370763638232e-05,0.03264604628031847,265,0.06081093466855669,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__FOS,0.022196871114713967,0.018407420550917444,0.22896984050946387,-0.014050387415544853,0.05844412964497279,-2.620035919120306e-05,0.4275336102344681,265,0.07282112064796531,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__FOSL2,0.007935081264668492,0.00812501021811871,0.32966655141711665,-0.008064409001905814,0.023934571531242798,-1.7052548539736985e-05,0.24237160380992714,265,0.060884619983386234,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__IRF1,0.012716914692897076,0.015329286054901097,0.4075385479224968,-0.017468987409969664,0.04290281679576381,-1.0758176709144798e-05,0.6955119913891477,265,0.09092176379537875,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__JUNB,0.019505661098789755,0.011445972276680821,0.08955225253161808,-0.0030333532674760577,0.04204467546505557,-3.269584245982702e-05,0.11197187002404198,265,0.03485321597089519,mlm,803,265,0.000462962962962963,False
T2_mid,CollecTRI__KLF10,0.009699108789252363,0.008931621926297087,0.27851999696856394,-0.007888733470421707,0.027286951048926433,-9.719214487358538e-06,0.5440268051225293,265,0.05647090630958074,mlm,803,265,0.000462962962962963,False
T3_high,SCENIC__FAP__ATF3,-0.004830328505740329,0.006198076074270272,0.436490436631642,-0.017034710415677633,0.007374053404196974,1.3465449232619413e-06,0.8079241127951962,268,0.02653042624086721,mlm,803,268,0.000462962962962963,False
T3_high,SCENIC__FAP__CEBPB,0.04010635421510414,0.020626042594715652,0.052911094300340855,-0.0005075553433036423,0.08072026377351192,-2.0054998501744437e-05,0.27710201274283,268,0.1912732856103524,mlm,803,268,0.000462962962962963,False
