gene_symbol,logFC,moderated_t,p_value
DDX50,-0.6340587896421497,-8.531099990661353,1.1433961837335476e-10
SLK,-0.6255897206311486,-8.530886184362084,1.1441629726833799e-10
DDX5,-0.7112911188457443,-8.530857570624446,1.1442656316372178e-10
TTC33,-0.7219346282085792,-8.52917843553968,1.1503062886208032e-10
RSPRY1,-0.6536737559609995,-8.52884004003118,1.1515275587493231e-10
AKTIP,-0.6556188699454983,-8.519925521745355,1.1841766404101176e-10
CCT5,-0.6326772669213172,-8.516953493711911,1.195268368544632e-10
CREBRF,-0.6072835211196629,-8.509777549405387,1.2224843071305223e-10
CLINT1,-0.6725025982091901,-8.507318206422548,1.2319552451769564e-10
ANXA7,-0.6885387598190869,-8.500587612961175,1.2582559032916747e-10
TARDBP,-0.6517694255897015,-8.489006906655325,1.304845017536658e-10
TMED2,-0.7205666840265179,-8.482765835999576,1.3306721943160957e-10
MYH11,-0.8652548114476251,-8.476051962012823,1.35903343304528e-10
TOB1,-0.7430041427772552,-8.475707418432215,1.3605052566623895e-10
SETD3,-0.6650421122836414,-8.4727060835364,1.3733947366732735e-10
GINM1,-0.7026536318017707,-8.471587296829943,1.378230985931565e-10
CHP1,-0.6299131119347811,-8.470943738346865,1.381020733349547e-10
PAIP2,-0.6913907788793464,-8.470739734541302,1.3819062560803235e-10
RSRC2,-0.6351255396045983,-8.46436791114114,1.409855426911835e-10
ADIPOR1,-0.6808311499509783,-8.462349525440983,1.4188274670970952e-10
KANSL2,-0.6596963568372668,-8.45883827811219,1.4345732923887538e-10
SP100,-0.6149622676604709,-8.442951353079426,1.508054366938652e-10
TIA1,-0.613310455321851,-8.43087934160026,1.5664255075548608e-10
TANK,-0.6706799437318074,-8.428599920037199,1.5777008199508445e-10
GTPBP4,-0.6619349554870592,-8.424971457822556,1.5958187570381434e-10
RAB12,-0.6527866225469797,-8.413264236738684,1.6557229764510868e-10
RPAP3,-0.6198077166393704,-8.413027993783912,1.6569549174559976e-10
NIPA2,-0.6110069957642645,-8.409885081141045,1.673432762260835e-10
PSMC6,-0.6343223591632825,-8.405770001701635,1.6952582434632576e-10
FAM20B,-0.6219674233806515,-8.394498694449425,1.7565237615251604e-10
CYP2J2,-0.7969517615615573,-8.386691764438147,1.800266019797862e-10
THAP11,-0.6200549667049136,-8.385579313400507,1.806588088982691e-10
GLO1,-0.6103043639856865,-8.384620164340953,1.8120569538081872e-10
YAP1,-0.6595735706299148,-8.381200948370717,1.8316891109423422e-10
LACTB,-0.5964858442180855,-8.379788879999685,1.8398593983382447e-10
PRKRA,-0.6951616408929009,-8.378645992647186,1.8464991575940263e-10
XPA,-0.6178437999341578,-8.376323454092745,1.860066974158645e-10
MARCH7,-0.7090468642530932,-8.37176039699594,1.8870176462646727e-10
PSMD7,-0.6346441742453751,-8.370498386233814,1.894540864489336e-10
AMY2A,-0.6067481226584699,-8.357478097036784,1.9739510303841198e-10
DIP2C,-0.60107233766718,-8.357192755535294,1.9757284858843482e-10
VPS72,-0.6604490053065561,-8.350138524847642,2.020188921739968e-10
USP6,-0.6892280406420395,-8.344320044683831,2.0576209668147897e-10
PPP3CB,-0.5973678745871144,-8.342264539662136,2.0710115575444198e-10
NCSTN,-0.6081154663962031,-8.341502343761206,2.0759992369504352e-10
HNRNPH1,-0.6370023803411893,-8.329886691725132,2.1535299503367575e-10
MAPK12,-0.7166510677513851,-8.326070464258272,2.1796355053547458e-10
DUSP1,-1.124597670008868,-8.313831711824024,2.26553412193157e-10
CDC14B,-0.9920041613320062,-8.313020447759826,2.2713474978928167e-10
PTMA,-0.6896671694243445,-8.309058701359735,2.2999539656154225e-10
CLK4,-0.6681397803617463,-8.30520748362143,2.328111319533354e-10
ZC3HC1,-0.6183654055162651,-8.301826576044842,2.3531171160819995e-10
ANXA5,-0.6502308944226565,-8.301716200069862,2.3539380356974097e-10
DICER1,-0.6156262441136507,-8.2948125460465,2.4058631902201934e-10
PTBP2,-0.6179824420802896,-8.294644593269599,2.407140750381033e-10
CNEP1R1,-0.6203329346881328,-8.293033711379705,2.419429058126719e-10
ZEB1,-0.6511762695152891,-8.275486776349474,2.5574597790706265e-10
TCEA3,-0.6505124034979415,-8.26919155227877,2.608897242831359e-10
DDX18,-0.6298907238819818,-8.25432693127931,2.7345417732134545e-10
TMEM159,-0.753192320735869,-8.24588589895447,2.8085942670305127e-10
SUMO3,-0.5838557286561983,-8.241638799214648,2.8466166215002633e-10
USO1,-0.6410924721736733,-8.240355388112102,2.8582084227561126e-10
FBXO11,-0.6360872959824285,-8.231174850502104,2.9425298807433266e-10
TTN,-0.6693819285510463,-8.22767467076689,2.975336221450165e-10
STT3B,-0.6373376351254604,-8.225038353139878,3.000289555665951e-10
ABCA5,-0.6794194984994426,-8.222232166453633,3.0270830913384584e-10
