,SCENIC__FAP__ATF3,SCENIC__FAP__CEBPB,SCENIC__FAP__EGR1,SCENIC__FAP__FOS,SCENIC__FAP__FOSL2,SCENIC__FAP__IRF1,SCENIC__FAP__JUNB,SCENIC__FAP__KLF10,SCENIC__MuSC__ATF3,SCENIC__MuSC__CEBPB,SCENIC__MuSC__EGR1,SCENIC__MuSC__FOS,SCENIC__MuSC__FOSL2,SCENIC__MuSC__IRF1,SCENIC__MuSC__JUNB,SCENIC__MuSC__KLF10,SCENIC__Vascular__ATF3,SCENIC__Vascular__CEBPB,SCENIC__Vascular__EGR1,SCENIC__Vascular__FOS,SCENIC__Vascular__FOSL2,SCENIC__Vascular__IRF1,SCENIC__Vascular__JUNB,SCENIC__Vascular__KLF10,CollecTRI__ATF3,CollecTRI__CEBPB,CollecTRI__EGR1,CollecTRI__FOS,CollecTRI__FOSL2,CollecTRI__IRF1,CollecTRI__JUNB,CollecTRI__KLF10
GTEX-11I78-2426-SM-5A5K9,-3.4463282141406135,4.83323950229902,4.710874919373572,8.741972121056747,0.41856322116188077,2.9352519814121,0.8160514512624274,4.458309110378113,2.70812078034791,6.929809046613213,8.167717441770234,5.0607087113884495,3.027937306758756,3.672932830092094,-4.188457780613515,2.6215392522900163,-0.6921211935562503,4.628905733984985,-6.301319961547712,4.547341802380988,4.366756320994444,2.369930754143155,2.788039201871038,2.653174939522184,3.5278639359258674,11.552630388294558,8.990197263815153,5.486381965334716,-1.2279949059454838,1.7256472571415447,3.68658114949893,2.6031443588948107
GTEX-11LCK-1226-SM-5Q5AM,-3.996424730218875,5.393944083672007,5.840754387716484,10.715578640482908,0.6760285494590162,2.8717376888050534,-0.8698681973721064,4.877578109631647,2.94999117224793,6.316546818358336,9.211390870304214,3.906843210898965,2.6450357671797065,3.56976489760341,-3.2208964298638354,3.063852483246601,-0.9367233840426551,3.98398179578771,-7.538044741050631,4.62815981000435,4.644263005948436,2.869684480415664,2.579375264678331,2.052263883793043,4.086198231875218,12.480113785465482,9.427950234830703,6.211791245790889,-1.7213962618976697,2.656189635360461,3.85304793806742,2.6569325790350367
GTEX-11NSD-2026-SM-5HL5U,-3.394753384128881,4.162743505382168,4.741604129907505,9.665289736534044,0.3928559534957726,2.4899413727454,0.3800061542251211,4.029620965562387,2.7943003139160547,6.725397792548405,8.620883656226741,4.228068491293412,2.498299722407864,2.9589085483423223,-4.560597016339183,2.4548168066568596,-0.7227736359018389,4.106281989680454,-6.540846141692878,3.067403361005877,3.9254361920779366,2.7096023140698486,2.6858289859191005,1.6797049544041902,3.388952607261688,10.652245861713585,8.015822182739662,5.4651474611160475,-1.657380047647516,2.3434816203759614,3.6449051849978544,2.0098290505194933
GTEX-11NUK-0226-SM-5A5L4,-3.366958275043578,3.4278476967459404,5.744919662349178,10.026333224908322,0.9561865871020118,2.42206494985668,1.376046814860897,4.176892156014697,2.4949796321923703,5.435257046914064,9.289535576379539,4.278717652582754,2.5336328808531157,2.8786298980859937,-5.754908548305217,2.974512348984512,-0.6280761006451773,4.206782761263289,-6.5174121500429605,4.16032329533192,3.487398248899656,2.540946619971019,2.357639086755041,1.476334425310113,3.8120293450363105,10.181983421660115,8.245022228118074,5.178395993884575,-1.567205896001513,2.7072272591159723,3.548142450566768,2.6263684412894968
GTEX-11NV4-0326-SM-5HL58,-3.3116969612090337,3.0399592185329154,5.409295196735901,11.140171494084166,0.6199726128138532,2.072145678539852,0.8901746006430601,4.137577188865001,2.5924166699230655,4.930194523687599,9.414944610154294,3.5838440858971556,2.4222460847972482,2.603778712398072,-6.063231861009173,2.8168123629866404,-0.8026009251516182,4.151501845353963,-8.117143740929023,4.084150294844005,3.2604873391137454,2.9604446343334847,2.0282235119792387,1.8973448672501831,4.211186905344415,10.039576570826114,8.245056897042087,5.360537147252397,-1.558066653379593,2.745929403983314,3.2218218632975626,2.0905289232578106
GTEX-11O72-0326-SM-5986D,-3.502651768519945,5.0128361854483545,4.1320030486990245,10.975249108348454,0.6914153065602581,2.9971894008539572,-0.1722707698157623,5.105224285657174,2.898970635578701,7.214169290438634,8.054822170056651,5.207813703025237,2.590300516754639,4.623932687079266,-2.7306942730618378,3.2704343253450507,-0.4455186285105847,5.037600547620916,-5.852334269589282,3.3843142109820423,5.137558492922101,2.925668501305203,3.9901422988826143,1.3602275068677576,3.5077666115190183,13.308154056611256,9.119805350424349,6.553146303026596,-0.602720574148123,3.0515659579162078,3.721864408866989,2.810294831092065
GTEX-11OC5-0326-SM-5PNW5,-3.676279910679539,5.040523261395331,4.9016340499512445,10.633465430557067,0.44971298960880035,3.273623977143386,-0.1446267678527447,5.209800778072331,2.8352796722998694,6.993105169921516,8.041404959176589,4.700911289784017,2.6569746986408886,3.419242226231974,-4.100426884599159,2.3698018952248936,-0.7582395263509761,4.143147187972093,-6.893881179880185,3.515187059402891,4.335240925351002,3.3920420734618713,3.333589335767719,2.0762245806988044,3.338827471108152,11.772336035675895,8.667000438350344,6.4502779884919486,-1.864046014788031,2.9658892351370825,3.5412795403376047,2.281804255084529
GTEX-11OF3-2526-SM-5P9JL,-3.4490654338821467,3.3580087904791265,5.323533710757965,11.164649134816933,0.8130128069126858,2.5392117950570685,0.43528167896307307,4.006856546731088,2.8302379704395335,5.457343490471882,8.640274687346345,3.452813125287209,2.606302637757813,2.8489755720389236,-5.2547521984952335,2.6654498246760214,-0.7667081902601095,4.082969490186023,-8.091564671985145,3.930672367717538,3.7812036427038715,2.8080638080129194,2.1181921478461185,1.673453290177402,4.29156089762642,10.465930904927948,8.006646506011293,5.216092698188848,-1.6324548924902937,3.2260747198234045,3.115618636472193,2.231258754322217
GTEX-11ONC-2426-SM-5GU7H,-3.1533296333683545,4.6562682327286,4.659628132779989,11.231976753525743,0.7694417459774678,3.1499511309511776,-0.02311447474740171,5.098364381746203,2.9135760595074522,6.782883034905272,8.09087947111844,4.4951391708334425,2.9735876935183985,4.482468195047818,-3.8857589231427507,3.3177372969592307,-0.591579894227598,4.836361846950049,-6.400722457281097,4.37070516384776,5.078731034448406,3.4801753565638203,3.736835359707882,1.3496385371631208,3.0732473224478936,13.021935024077065,9.37529493701847,7.241741681007619,-1.5626612190905842,3.8909421289228985,3.33205017873258,2.708593932914516
GTEX-11P7K-1926-SM-5GU6R,-2.974735447444236,4.7397298352681085,3.383732722056214,9.781198220527768,0.9462548940333358,3.083522686100429,1.0066055025732288,5.001485573506382,2.452700196401079,7.026487983480071,8.395630486773154,3.8172857992779474,2.982022730800341,3.277329821386174,-3.3365603688545713,2.1825563387458162,-0.6798738018094267,4.483660096030703,-6.627059884119285,3.665512332429482,4.481600908647545,2.777310749524029,3.0861262680518857,1.8855161663401994,4.638605031106482,11.080824054074585,8.160778345753421,5.015147505562542,-1.4768690720694333,2.1511452435300944,3.785439935303023,2.802200171875776
