Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Regulation Of Synapse Disassembly (GO:1905806) BP	-0.3070393598615917	-0.8377285619455676	0.7121212121212122	0.903267512929008	0.9859437751004017	8/8	69.31%	SKP1;EPHA4;NGEF;ITGB1;CDK5;PLXNC1;C1QL1;ADGRB3
prerank	Postsynapse To Nucleus Signaling Pathway (GO:0099527) BP	0.38559383110822826	0.8327435798686722	0.7593528816986855	0.9978610249281126	1.0	3/14	15.43%	ANKS1B;KPNA1;CRTC1
prerank	Maintenance Of Postsynaptic Specialization Structure (GO:0098880) BP	0.4393107655177168	0.8269433576606049	0.7382022471910112	0.9967013679223059	1.0	1/6	6.65%	SYNGAP1
prerank	Presynapse (GO:0098793) CC	0.3250666608554851	0.8237014482095627	0.925	0.9903049211699438	1.0	54/107	49.04%	FLOT1;RPS27;PPP1CC;RNF216;RTN3;ROGDI;ARF6;AP1G1;VPS16;RGS7BP;AP3D1;LRFN2;CPLX1;GAD1;FBXO45;GAD2;GNB5;STON2;PTK2B;RAB8B;SCRN1;CNTN6;DOCK1;DISC1;SPTBN2;CD2AP;RAB1A;SEPTIN3;YWHAH;DVL1;GAP43;AMPH;SLC2A4;STXBP5;CADPS2;UNC13B;ARFGEF2;NOS1AP;SYT10;GIPC1;PTN;APBB1;CPEB2;PRKN;DGKQ;SEPTIN5;PPP1R9A;DBNL;NAPB;GRK3;SLC29A1;VPS18;MAGI1;CPLX2
prerank	Synaptic Vesicle Neurotransmitter Loading (GO:0098700) BP	0.434046923991783	0.8139137263862124	0.7411630558722919	0.9943921878996426	1.0	6/6	56.61%	SLC17A8;SLC18A2;SLC17A7;SLC32A1;SLC17A6;SLC18A3
prerank	Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels (GO:0099626) BP	0.3944677059933047	0.8123505930847355	0.7417289220917823	0.9855435052799234	1.0	2/9	18.68%	CACNA1B;HTR1B
prerank	Regulation Of Presynaptic Dense Core Vesicle Exocytosis (GO:0099161) BP	0.3846404670309317	0.7816657350375682	0.7790575916230367	1.0	1.0	1/9	3.71%	TBC1D2B
prerank	Regulation Of Protein Catabolic Process At Postsynapse, Modulating Synaptic Transmission (GO:0099576) BP	0.40477863668306385	0.740488065952517	0.818815331010453	1.0	1.0	5/5	59.53%	RNF19A;CDH1;FBXO2;NEDD4;USP8
prerank	Synaptic Vesicle Priming (GO:0016082) BP	0.3556867070237442	0.7404741762551783	0.8521199586349535	1.0	1.0	6/11	43.90%	SV2A;RIMS1;RIMS2;ERC2;CADPS2;RPH3A
prerank	Postsynaptic Actin Cytoskeleton (GO:0098871) CC	0.3292441017606732	0.723176662813438	0.8789420142421159	1.0	1.0	3/16	17.75%	CTTNBP2;ITPKA;ABI2
prerank	Regulation Of Synaptic Vesicle Cycle (GO:0098693) BP	0.32128012599982975	0.722154468599554	0.8883299798792756	1.0	1.0	11/19	55.27%	SYNGR3;NRXN1;RAPGEF4;SCRN1;RAB3B;BLOC1S6;SYNGR4;LPAR1;VPS18;DTNBP1;CDK5R1
