gene,log2FC,padj,log2FC_tech,pvalue_tech,padj_tech,abs_age,abs_tech,tech_over_age,tech_dominates
SPTLC1,1.121487706704057,0.0982714980731805,-1.9581272271617496,1.910167509794579e-12,4.837234167089395e-11,1.121487706704057,1.9581272271617496,1.7460086414290663,True
ATP2A1,-2.3375581788852844,0.10867198272746202,-0.08192437515656732,0.8978987008402374,0.9283092043861514,2.3375581788852844,0.08192437515656732,0.03504698873233382,False
ZNF676,2.6401981662761247,0.11427385768179911,0.6827457452996616,0.23337271756282263,0.3200122349382926,2.6401981662761247,0.6827457452996616,0.2585964015961129,False
MOXD1,3.1429003625135445,0.115387537069386,-2.4670047538141353,0.0016574278540264981,0.00515080817392511,3.1429003625135445,2.4670047538141353,0.7849452636930369,False
S100PBP,0.8177456706470821,0.11543542803368767,-0.4824447530630939,0.018340570058740003,0.03970989115958611,0.8177456706470821,0.4824447530630939,0.5899691925991309,False
THRB,1.073735578459331,0.1175207205493713,0.7401618131574679,0.007967142747273162,0.019715712043927764,1.073735578459331,0.7401618131574679,0.6893334150475879,False
MKI67,-3.0417648456142587,0.1197635933845731,0.966889319267463,0.2601413395664678,0.3496477291686512,3.0417648456142587,0.966889319267463,0.3178711597846111,False
CDC73,0.8453348436912166,0.1197635933845731,-1.647164524936374,3.163939941048818e-14,1.2846168819471061e-12,0.8453348436912166,1.647164524936374,1.948534994421748,True
KCNA7,-3.079544828645518,0.1197635933845731,0.8353471118979665,0.33246385269616374,0.4278417846222407,3.079544828645518,0.8353471118979665,0.27125668187313867,False
AL589935.1,-2.0626395933716477,0.1197635933845731,1.3076779046312672,0.02588799107114233,0.052666175305628816,2.0626395933716477,1.3076779046312672,0.6339827417419545,False
NHS,1.9663394845985593,0.1197635933845731,0.9937205871895946,0.04412737570919473,0.08143311350625988,1.9663394845985593,0.9937205871895946,0.5053657290477839,False
MRPS10,1.1929822266330798,0.1197635933845731,-3.024201575339899,1.6398939511024567e-22,8.32911420183529e-20,1.1929822266330798,3.024201575339899,2.5349929846608177,True
AC022034.1,-1.8167919484656272,0.1197635933845731,0.07709456941819419,0.8764865039105936,0.9126620841238305,1.8167919484656272,0.07709456941819419,0.04243445127732125,False
SGK3,1.2096177026170682,0.1197635933845731,-0.08819603789328526,0.7783354128997954,0.8381139637525338,1.2096177026170682,0.08819603789328526,0.0729123240363205,False
ZNF420,1.0193061650199977,0.1197635933845731,-0.7073307010843928,0.0057309001593757935,0.015002441057107557,1.0193061650199977,0.7073307010843928,0.693933506298881,False
DPP6,2.3293070718522553,0.1197635933845731,1.3828538687830432,0.01965350298653751,0.0419905794391005,2.3293070718522553,1.3828538687830432,0.5936760702329399,False
PIAS1,0.603784822379125,0.1207524747198935,-0.5708493627698014,0.0002625716444297576,0.0010197902317709776,0.603784822379125,0.5708493627698014,0.9454516602793255,False
ADORA1,-2.2812926489293757,0.1207524747198935,0.7302517838535943,0.2545275284130587,0.3434915795533728,2.2812926489293757,0.7302517838535943,0.32010438651801465,False
AC068587.4,-1.2516257198621703,0.1207524747198935,0.749257798274448,0.03875269128521206,0.07311864419335694,1.2516257198621703,0.749257798274448,0.5986276778947597,False
