target,importance_Vascular,in_vascular,importance_MuSC,in_musc,importance_FAP,in_fap,in_sasp12
AP003390.1,,False,,False,0.5896376303325165,True,False
AP003399.1,,False,,False,0.221641739968134,True,False
ARG1,0.2998682666714769,True,,False,,False,False
ARG2,0.1269083368460277,True,,False,,False,False
ARHGAP11A,,False,1.050062515676582,True,,False,False
ARID1B,,False,,False,0.3497758453913056,True,False
ARID5B,,False,,False,0.4017643146728277,True,False
ASPM,,False,0.4972394626211798,True,,False,False
ATF3,,False,,False,0.0271405705107074,True,False
ATP8B1,,False,,False,3.394383125171213e-06,True,False
AURKB,,False,1.8666793716524208,True,,False,False
AZGP1,,False,,False,0.454881307666994,True,False
BANP,,False,,False,0.1650536526735482,True,False
BCL2L2-PABPN1,,False,,False,0.2651413380186371,True,False
BDNF-AS,,False,,False,0.0922351133306368,True,False
BHLHE40,0.1160988197847935,True,,False,0.8174754583937051,True,False
BHMT,0.0172901913309751,True,,False,,False,False
BORCS8-MEF2B,,False,,False,0.020535725554523,True,False
BRD7P4,,False,,False,0.1148587466290764,True,False
BTBD10,,False,0.1847607856778245,True,,False,False
C12orf77,,False,0.0055563032620509,True,,False,False
C1QTNF3-AMACR,,False,,False,2.3333466362313407e-06,True,False
C20orf194,,False,,False,0.1533266424065311,True,False
C20orf78,,False,,False,0.3219202948006586,True,False
C2orf92,,False,0.2087879314651556,True,,False,False
C4BPB,,False,,False,0.0075295787315245,True,False
C5orf17,,False,,False,0.0697163094184748,True,False
C7,,False,,False,5.416715955747576e-05,True,False
C7orf77,,False,,False,0.4338486136715059,True,False
CAGE1,,False,,False,0.1897980212550994,True,False
CASC15,,False,,False,0.1269412440833239,True,False
CASC6,,False,,False,0.2770026867406765,True,False
CASC9,,False,,False,0.2673150646613002,True,False
CASK,,False,,False,0.1233531592869301,True,False
CBR4,,False,,False,0.1298904194064505,True,False
CCDC13,0.1964849558311164,True,,False,,False,False
CCDC138,,False,0.2212262486089842,True,,False,False
CCDC171,,False,,False,0.0014406036983685,True,False
CCDC18,,False,,False,0.0001510283080744,True,False
