gene,log2FC,lfcSE,stat,pvalue,padj
FAM102B,-10.14100629149683,1.9571667403452,-5.181472831337909,2.2014065818804617e-07,3.084248710162494e-06
FAM104A,-10.589746788020333,2.2770345435902213,-4.650674631981376,3.308509529107316e-06,1.314981517371147e-05
FAM104B,-10.807319642084154,2.4348485886544156,-4.438600286047628,9.054579326218913e-06,2.3921946537268202e-05
FAM106A,-9.863729095429536,2.0384136198629688,-4.838924249383999,1.3054378638260833e-06,7.732954310900044e-06
FAM106C,-12.854449406227276,2.749284850643897,-4.675561138459951,2.9315092207735166e-06,1.2310598636448088e-05
FAM107A,-11.468070243189802,2.8849495933417764,-3.9751371287932216,7.033871571308772e-05,0.00010654343536923543
FAM107B,-10.21577192867212,2.670868337949918,-3.824887877668075,0.00013083161505690478,0.00017993965995929538
FAM110B,-9.935267439418546,2.1098639110861757,-4.708961268645894,2.489823724114841e-06,1.1177299085908366e-05
FAM110D,-12.148778344073426,2.2034472315333904,-5.513532691054747,3.5170167253788277e-08,1.0788853881551664e-06
FAM111A,-11.240566264676218,2.252907416734592,-4.98936005145232,6.057964312171435e-07,5.247571731747683e-06
FAM111A-DT,-11.408125945260661,2.375011920854929,-4.803397340908544,1.5599588609931147e-06,8.388961224770893e-06
FAM114A1,-9.001607606923173,2.2858951687003963,-3.9378916978248273,8.220067836217922e-05,0.00012128135801885918
FAM114A2,-11.445793307672568,2.8580814421030145,-4.004712090797034,6.209305974820008e-05,9.607195049477185e-05
FAM117A,-9.046569704103986,1.6962980168352848,-5.333125202245894,9.653670049429907e-08,2.049456377544326e-06
FAM117B,-8.653855089633876,1.7419408810678463,-4.967938455137973,6.766843029675847e-07,5.5626201651718055e-06
FAM118A,-11.594939280002574,2.401273480256489,-4.8286625306685504,1.3745312082109915e-06,7.918792515048034e-06
FAM118B,-11.764856409658236,2.4658965791253813,-4.771025885372315,1.8328998099017245e-06,9.269318127775161e-06
FAM120A,-12.104892999667737,2.7488023864605062,-4.403697064325746,1.0642152339501627e-05,2.659833150960227e-05
FAM120AOS,-8.355637646815408,2.5304741660651087,-3.302004722620203,0.000959964538660732,0.0010728457911211094
FAM120B,-8.67742959529895,2.163489526585678,-4.010848903434851,6.050082139076899e-05,9.401318521968696e-05
FAM120C,-7.942953003720127,2.8801232774327135,-2.757851744040735,0.005818257923795893,0.0060541224036776775
FAM122A,-11.436497762075216,2.6843837244192064,-4.260381128837912,2.0407859998824405e-05,4.212761397951907e-05
FAM122B,-12.014584254736176,3.164410613883649,-3.796784210627709,0.00014658528372381215,0.00019853689729125833
FAM122C,-9.976269773049994,1.9867026979407296,-5.021521228813281,5.126383661009731e-07,4.803221688493506e-06
FAM124A,-11.810331056176489,3.263881069818656,-3.6184930772715562,0.0002963234246556024,0.0003593756902972188
FAM126A,-9.908770984591843,2.146050589443363,-4.6172122098771,3.8892949924931254e-06,1.4382513775735359e-05
FAM126B,-9.219770672533887,1.8372683644665386,-5.018194865185577,5.21592565773055e-07,4.84345122909606e-06
FAM131A,-11.87059591863036,2.4115007592317994,-4.9224931293041845,8.544856552096713e-07,6.1910198072882835e-06
FAM133B,-18.02677254010345,2.4505435401101274,-7.356234339461412,1.8917080364685893e-13,1.2595993599297762e-11
FAM133CP,-20.653784498841095,2.8888454514810777,-7.1494944418892805,8.70980748423097e-13,5.4170695504259595e-11
FAM133DP,-11.97171003716389,3.165182827918738,-3.782312330133508,0.0001553782310282331,0.0002088468664874529
FAM135A,-10.081278745951492,2.1595379064591897,-4.668257369226227,3.037652301996448e-06,1.2551060483061216e-05
FAM135B,-9.98498276080888,2.687199164298405,-3.7157583604026745,0.00020259513065211578,0.0002608069579684549
FAM136A,-11.576457806803424,3.1343364935455416,-3.6934317137430916,0.0002212479418891463,0.00027923024620517246
FAM136BP,-12.916712163003394,2.9453699794502626,-4.38542942079359,1.1575718789657206e-05,2.8210164559164292e-05
FAM138B,-12.675532196345904,2.533401989275058,-5.003363954874392,5.63384298040411e-07,5.041287400528405e-06
FAM138C,-12.978547849770198,3.039262978866812,-4.27029445625967,1.952150599890015e-05,4.0849188863028056e-05
FAM13A,-10.002538986698664,1.871495946431657,-5.344675742296049,9.057905614562751e-08,1.954832461468886e-06
FAM13A-AS1,-11.085508863946718,2.1827096880469545,-5.078783002913141,3.7986027240123373e-07,4.087289309359093e-06
FAM13B,-21.27841944428806,2.5829896178246066,-8.237903589488193,1.7525431506014303e-16,2.0253527415767718e-14
FAM13C,-11.403154533639983,2.4388047244344517,-4.675714467579739,2.9293195389766235e-06,1.2309930321466074e-05
FAM149A,-7.527204725281317,3.1430619802887327,-2.3948635987731435,0.016626549241839955,0.01684606374355598
FAM149B1,-24.141740308648412,2.7455988189009,-8.792887053438008,1.4576498961408729e-18,4.925333731154212e-16
FAM151B,-10.477158810430872,2.3659832325066588,-4.428247278545067,9.500194775673963e-06,2.473831487537185e-05
FAM153CP,-7.403495157799211,2.84932379247234,-2.598334095043388,0.009367730049213532,0.009621451800387676
FAM155A,-10.080756656531864,2.3589759742399647,-4.273361308726246,1.925480690955733e-05,4.045939981673179e-05
FAM156A,-7.658803216024724,2.9743475037723917,-2.5749523908389973,0.01002538852435115,0.010273153071234586
FAM156B,-11.62657500377799,3.160428644415918,-3.6787968696337106,0.00023433681170581034,0.00029270140296624596
FAM157A,-13.18724739999989,3.186858909743185,-4.138007917351632,3.503342851384289e-05,6.279402142412916e-05
FAM157C,-11.482740221318194,2.345839658458573,-4.894938228158094,9.83366119314004e-07,6.669390525808789e-06
FAM160A1,-12.745458071046478,3.1671448835609515,-4.024273766950704,5.715140354023272e-05,8.977592455920959e-05
FAM160A2,-11.859979345328345,2.6845287858131823,-4.4178998593735646,9.966457496821115e-06,2.5492106120272647e-05
FAM160B1,-8.479786013087676,3.131251638745723,-2.708113876304237,0.006766679993870939,0.00701808999364322
FAM160B2,-9.531890879802129,2.784025451626709,-3.423780078674437,0.0006175657668153459,0.000708009894917335
FAM161A,-11.131859474660686,2.703426933353517,-4.117684608864927,3.826979413730634e-05,6.719325806378767e-05
FAM161B,-11.325730042123544,2.2722928853155278,-4.984273865096782,6.21949362747113e-07,5.317338226296031e-06
FAM162A,-9.518468305226653,2.9316366661922855,-3.246810361936692,0.0011670612430320065,0.0012881429223831893
FAM162B,-10.449756332782373,2.4110406321284636,-4.334127012848117,1.4633967127170737e-05,3.3139780113235806e-05
FAM163A,-12.641902565762678,2.5944879720757217,-4.872600182319795,1.101389735619443e-06,7.0863193100246505e-06
FAM166A,-12.9476373580397,2.831868823894747,-4.572117623807327,4.8281976398666835e-06,1.6155990771623398e-05
FAM167A-AS1,-11.78446593120775,3.1645738435563135,-3.723871369032266,0.00019619091419290023,0.00025457477540053125
FAM167B,-13.011947226199648,3.1022288011316865,-4.194386700765887,2.7361086740172497e-05,5.218869683299058e-05
FAM168A,-8.946429493937018,2.160506221321586,-4.140895039156364,3.459532481866244e-05,6.221826807830466e-05
FAM168B,-11.253122129022245,2.748298584522384,-4.0945777116054805,4.22938541230039e-05,7.111396855167786e-05
FAM169A,-11.043472102071641,3.166501852875513,-3.487593759669845,0.00048738800138423117,0.000567270421229634
FAM169B,-7.532468049969828,3.156648247436262,-2.386223443200388,0.017022405047274567,0.017237117138491253
FAM171A1,-10.418154466023722,2.175162641401983,-4.789597921426596,1.671158325407456e-06,8.723392513004242e-06
FAM171A2,-13.060074628308378,3.1904601255413736,-4.0934768385774065,4.249525430088592e-05,7.121168828209993e-05
FAM171B,-10.38013530193631,1.9870874799040819,-5.223793822321988,1.7529395582524538e-07,2.7412891007950867e-06
FAM172A,-6.961156384339655,2.004887087266646,-3.4720939790330623,0.000516415520701607,0.0005985322773339314
FAM174A,-11.032040125666901,2.6214891788173174,-4.208310381294039,2.5728730245974948e-05,4.988846832262478e-05
FAM174B,-8.769885071131917,2.11903387114199,-4.138624299764331,3.493945606469027e-05,6.266294429600912e-05
FAM174C,-9.5968267617452,2.77499180874141,-3.4583261584825418,0.0005435429258701489,0.0006276276802394319
FAM177A1,-11.577931092422084,3.1006892610560084,-3.733986258422736,0.0001884727817366069,0.0002463673021384054
FAM177B,-9.640378792152159,2.8110133929539685,-3.429502974378047,0.0006046878054551151,0.0006938292695313907
FAM178B,-11.569974844236077,2.5556144283497892,-4.527277165087473,5.974855211268333e-06,1.82553824345173e-05
FAM180A,-11.521822168442537,2.4783310909326257,-4.649024583760008,3.3350846472356407e-06,1.320410020208352e-05
FAM180B,-9.765242224044576,2.5019393780619836,-3.903069078999343,9.498057985297824e-05,0.0001370643388125685
FAM181B,-12.786877993039276,2.7639499887883443,-4.626305846671547,3.722454867847016e-06,1.4018440696200798e-05
FAM182A,-10.406733923455977,2.1855887255965842,-4.76152434425435,1.921361154274556e-06,9.547343101760682e-06
FAM182B,-7.445340544837719,3.1450205094003185,-2.367342445807252,0.017916346590954625,0.018109933047846666
FAM184A,-22.52887141719198,3.0566894490245704,-7.370350110110544,1.7018050946669288e-13,1.146641831492994e-11
FAM184B,-10.259983305065482,2.9575170063020857,-3.46912064519081,0.0005221649136013834,0.0006048862241734492
FAM185A,-20.78372558782974,2.9148479868815915,-7.130294849463113,1.0015414855996804e-12,6.17817375817198e-11
FAM185BP,-7.585115909590658,3.1451066371883174,-2.411719787145802,0.015877478943195363,0.01611306463129818
FAM186A,-11.352318530485386,2.702055630334423,-4.201363733240515,2.653119236797129e-05,5.104875607840405e-05
FAM186B,-12.134160377536558,3.2709159134482992,-3.7097133337018,0.00020749405449854163,0.000265776317961832
FAM187A,-12.985620107671828,2.97282138577213,-4.368113123048957,1.2532457929969802e-05,2.9736866377779625e-05
FAM189A1,-10.412061170426842,2.181541677424117,-4.7727995656360855,1.8168258082555864e-06,9.218090424271227e-06
FAM189B,-11.578326872076266,2.284836629894015,-5.067463783007253,4.0315117726943487e-07,4.219574434675329e-06
FAM192A,-12.25184766001383,2.919802900462054,-4.1961214772664945,2.7152465275043733e-05,5.189132714517264e-05
FAM192BP,-11.868427428111263,3.264628634633588,-3.6354601874780585,0.00027748484737207614,0.0003390349970131379
FAM193A,-20.68392202407512,2.558042706025017,-8.085839214238998,6.173759038490113e-16,6.157168760897696e-14
FAM193B,-7.97993589045805,2.2939987874136993,-3.478613822396476,0.0005040143419148208,0.0005852377640975344
FAM197Y2,-12.779954916673848,2.763925472888097,-4.623842083310497,3.766966910520217e-06,1.4112256145501768e-05
FAM198B-AS1,-12.686184059075703,2.4805485934662834,-5.114265486469752,3.14964117579282e-07,3.7099233391661624e-06
FAM199X,-10.342595773260792,1.8925714357818706,-5.46483772169371,4.6333047087093635e-08,1.2795305089271804e-06
FAM200A,-11.626803943171577,2.283128640512064,-5.092487447647232,3.533961178861897e-07,3.947643512152123e-06
FAM200B,-8.564741788092121,2.6624364770058087,-3.2168811770953796,0.0012959225830634633,0.0014237790623106738
FAM201A,-12.436105065772486,2.394770627859892,-5.193025553719156,2.069037726164529e-07,2.993031634673404e-06
FAM204A,-10.087961995039782,2.6591591371891243,-3.7936661457964886,0.00014843922694651688,0.00020067572308862987
FAM207A,-9.980305830884689,2.9489225860149286,-3.3843905832644214,0.0007133644505196371,0.0008102477320546892
FAM207BP,-11.102854169544525,2.4355546376017236,-4.558655346150411,5.148217701823253e-06,1.675780022308794e-05
FAM209A,-13.155627559941044,3.155683252503601,-4.168868199780146,3.0611593268255434e-05,5.670285920468102e-05
FAM20A,-8.536965672779527,3.076285548218749,-2.7750888332595314,0.005518663159859272,0.005749517500048506
FAM20B,-10.156420378344768,2.1306346059299686,-4.766852256167004,1.8712642513303325e-06,9.378691916286782e-06
FAM20C,-10.51769898148531,2.7433605681613065,-3.8338740825944835,0.00012614073049342257,0.00017443650342927088
